$ME_BE_BUSY	You are busy
$ME_BE_IDLE	You are lazy
$ME_BLOW_JOB	Blowjob
$ME_BUILD_CELL	Maria Eden: update cell...
$ME_BUILD_CELL_FINISHED	cell updated
$ME_CELL_CAGE_LARGE	Large cage
$ME_CELL_CAGE_SMALL	Small cage
$ME_CELL_CLEANUP	Delete cell modifications
$ME_CELL_CLEARED	Cell modifications deleted
$ME_CELL_CREATE_GUESTF	Female guest
$ME_CELL_CREATE_GUESTM	Male guest
$ME_CELL_CREATE_OBJ	Create object
$ME_CELL_CREATE_SLAVEF	Female slave
$ME_CELL_CREATE_SLAVEM	Male slave
$ME_CELL_CREATE_WHORE	Whore
$ME_CELL_CRUX	Crux
$ME_CELL_DANCESPOT	Dance spot
$ME_CELL_FLOGGED_WOMAN	Flogged woman
$ME_CELL_FREAKSHOWSPOT	Freakshow spot
$ME_CELL_GAMESTARTPOS	Gamestart position
$ME_CELL_HANGED_WOMAN	Hanged woman
$ME_CELL_HANGED_WOMAN_HOODED	Hanged woman with hood
$ME_CELL_IMPALED_WOMAN	Impaled woman
$ME_CELL_IMPALED_WOMAN_HOODED	Impaled woman with hood
$ME_CELL_IMPALING_SPIKE	Impaling spike
$ME_CELL_MOVE_OBJ	Move existing object
$ME_CELL_NO_MARKER	No valid jump marker found
$ME_CELL_OBJ_PLACED	Object placed
$ME_CELL_RAPE_MACHINE	Rape machine
$ME_CELL_REMOVE_OBJ	Remove selected object
$ME_CELL_SET_SPECIALJOBPOS	Special job position
$ME_CELL_STARTPOS	Quickstart position
$ME_CELL_STRAPPADO_RACK	Strappado rack
$ME_CELL_WAIT	You have 10 seconds to decide
$ME_CELL_WODDEN_HORSE	Wooden horse
$ME_CONFIG_SAVED	Configuration saved (MariaDefaults.json)
$ME_CONFLICT1	This hotkey is already assigned to :
$ME_CONFLICT2	Ignore?
$ME_CONF_ABDUCTIONCHANCE	Defines the probability that you are going to be abducted in a scene
$ME_CONF_ACTIONKEY	Opens the Action menu
$ME_CONF_AUTOMATIC_TRIGGER	Enable or Disables Auto Quest triggers
$ME_CONF_BODY_SUCCUBUS	Defines current clothes as Succubus body
$ME_CONF_BOUNTYHUNTERTIMER	Hours until bounty hunters starts hunting you
$ME_CONF_BUCKSPERDAY	Amount of septims you have to earn per day
$ME_CONF_BUSYFLAG	Slave is busy
$ME_CONF_CAGETIME	Time between repeating events
$ME_CONF_CLOTHES_CATPLAY	Defines current clothes as cat play clothes
$ME_CONF_CLOTHES_DANCER	Defines current clothes as dancer clothes
$ME_CONF_CLOTHES_FEMDOM	Defines current clothes as femdom clothes
$ME_CONF_CLOTHES_MALEDOM	Defines current clothes as maledom clothes
$ME_CONF_CLOTHES_NAKED_FEMDOM	Defines current clothes as naked femdom clothes
$ME_CONF_CLOTHES_SLAVE	Defines current clothes as slave clothes
