Topic	Scene	ChangedInfos	Reminder	Derivation
0B3204	MEPCaravanSlaveDancePause	5	Reminder: pleasure yourself.	manual scene-specific mapping
23E746	MEPBrothelWelcomeFreeWhore	5	Reminder: clean yourself up before you are taken back.	manual scene-specific mapping
2FAEDE	MEPJobArrived	2	Reminder: take off your clothes.	manual scene-specific mapping
2FAF0A	MEPJobSequelFloorLicking	3	Reminder: keep licking the floor and spread your thighs.	manual scene-specific mapping
2FAF22	MEPJobSequelCleanPenis	3	Reminder: get on your knees and lick his penis clean.	manual scene-specific mapping
2FAF6F	MEPJobSexDance	3	Reminder: Here, take this and put it in your pussy!	preceding scene dialogue 2FAF6D
2FAF79	MEPJobSexDance	3	Reminder: All right, start dancing!	preceding scene dialogue 2FAF77
2FB30C	MEPBrothelWhoreDance	5	Reminder: You will dance naked here now. Make an effort to arouse the guests' desire for you!	preceding scene dialogue 2FB30A
2FB67C	MEPJailPunish	6	Reminder: get into the position you were ordered to take.	manual scene-specific mapping
2FB74D	MEPPimpBuyCollar	6	Reminder: Take this and put it on yourself!	preceding scene dialogue 2FB74B
2FB7A5	MEPPimpBuySlaveClothes	6	Reminder: Here, put this on!	preceding scene dialogue 2FB7A3
2FFA78	MEPPimpShowBreasts	6	Reminder: expose and show your breasts.	manual scene-specific mapping
3145E6	MEPLickFeetAction	5	Reminder: get down on all fours and lick or kiss the ordered feet.	manual scene-specific mapping
3145FE	MEPLickFeetAction	5	Reminder: Now you've gotten cum all over my feet. Lick it off! Make sure you touch my feet with nothing but your tongue!	preceding scene dialogue 3145FB
31BCF3	MEPStableZoneSex	4	Reminder: Since this is your first stallion, I'll be merciful and give you some lubricant. Here, take this and drink it!	preceding scene dialogue 31BCF1
3321E3	MEPWrongClothesScene	5	Reminder: correct your outfit—wear your assigned clothes, or strip if you were ordered to be naked.	manual scene-specific mapping
3321E9	MEPWrongClothesScene	5	Reminder: correct your outfit—wear your assigned clothes, or strip if you were ordered to be naked.	manual scene-specific mapping
3321F1	MEPWrongClothesScene	5	Reminder: correct your outfit—wear your assigned clothes, or strip if you were ordered to be naked.	manual scene-specific mapping
3321F7	MEPWrongClothesScene	5	Reminder: correct your outfit—wear your assigned clothes, or strip if you were ordered to be naked.	manual scene-specific mapping
35783B	MEPSTBeginSolo	6	Reminder: Put all your things in there.	preceding scene dialogue 357839
36537F	MEPJobSexDevice	5	Reminder: use the device and get into the ordered position.	manual scene-specific mapping
38DD33	MEPAuctionPlayerSold	5	Reminder: go to your new owner and kneel before them.	manual scene-specific mapping
3BCEF6	MEPSTSellToNPC	6	Reminder: Come on: Get up.	preceding scene dialogue 3BCEF4
3E57B9	MEPSTSellToAuction	6	Reminder: Here, drink this!	preceding scene dialogue 366D04
42C687	MEPSTJHorseFuckPublic	6	Reminder: Go to him and kiss his feet!	preceding scene dialogue 42C685
42C690	MEPSTJHorseFuckPublic	6	Reminder: go to the next guest.	manual scene-specific mapping
42C697	MEPSTJHorseFuckPublic	6	Reminder: go to the final guest.	manual scene-specific mapping
4811D3	(not used by a scene)	9	Reminder: move to the device and follow the current package order.	manual scene-specific mapping
48793E	MEPPimpBuyPay	6	Reminder: use, wear, or drink the item you were just given.	manual scene-specific mapping
49F8E4	MEPBrothelJobDogShow	9	Reminder: Now get up on that stage and get down on all fours. Spread your ass cheeks and look at your audience.	preceding scene dialogue B1E7A9
529B56	MEPStableZoneFeed	4	Reminder: Now go to the barn and kneel down!	preceding scene dialogue 529B54
533DC9	MEPJobPissing	4	Reminder: lie down and open your mouth.	manual scene-specific mapping
56545A	MEPBuyWhoreClothesScene	9	Reminder: You heard them. Strip!	preceding scene dialogue 565458
565468	MEPBuyWhoreClothesScene	9	Reminder: put on the clothes you were given.	manual scene-specific mapping
57E9F0	MEPOutfitTrackerWrongClothes	9	Reminder: put on your assigned clothes.	manual scene-specific mapping
57E9FA	MEPOutfitTrackerWrongClothes	9	Reminder: put on your assigned clothes.	manual scene-specific mapping
6311D9	MEPAuctionPlayerSell	5	Reminder: Show us your body and dance for us!	preceding scene dialogue 6311D7
6311EF	MEPAuctionPlayerSell	5	Reminder: That's enough. Now stand over there and present your pleasure grotto to the clients.	preceding scene dialogue 6311ED
631203	MEPAuctionPlayerSell	5	Reminder: Enough. Now show us your ass. Spread those cheeks wide!	preceding scene dialogue 631201
68C635	MEPDogShowScene	5	Reminder: You know what to do. Get down on all fours and crawl to the audience to collect the septims!	preceding scene dialogue 68C633
6A0AAB	MEPJobSexGallows	5	Reminder: get onto the gallows and into the ordered position.	manual scene-specific mapping
6BA00B	MEPSterilizationStart	5	Reminder: Here, take this and drink it!	preceding scene dialogue 6BA009
732CFF	MEPTavernNoSit	6	Reminder: Get down from there. Now!	preceding scene dialogue 732CFD
7A74EB	MEPDLC1QuickStartBecomeThrall	2	Reminder: get inside the place you were shown.	manual scene-specific mapping
7B67FD	MEPDLC1Thrall2SeranasSlave	2	Reminder: come out now.	manual scene-specific mapping
7B6803	MEPDLC1Thrall2SeranasSlave	2	Reminder: get down on your knees.	manual scene-specific mapping
7B6817	MEPDLC1Thrall2SeranasSlave	2	Reminder: put on the item you were given.	manual scene-specific mapping
7BB93C	MEPDLC1QuickStartBecomeSlave	2	Reminder: get down on your knees.	manual scene-specific mapping
7D9FDE	MEPBuyShoesScene	6	Reminder: put on the shoes you were given.	manual scene-specific mapping
7D9FFA	MEPBuyShoesScene	6	Reminder: put on the shoes you were given.	manual scene-specific mapping
7DA017	MEPBuyShoesScene	6	Reminder: put on the shoes you were given.	manual scene-specific mapping
80CADB	MEPFarmerSlaveryDontWork	7	Reminder: get back to work now.	manual scene-specific mapping
