Priority,Enabled,Status,SourceMod,Category,Bucket,MatchedLocal,Score,ArchivePath,ArchiveScore
0,+,Missing,BPAnims1.0.3.1,Uncategorized,uncategorized,TDF Anims,0.588,,
1,+,Missing,TNG_Himbo_SMP_XMLs,Animations,animations,CBBE 3BA HIMBO_separator,0.545,,
2,+,Missing,PamaSovngardeAftermath_V1.0.0_SE_AE,Bug Fixes,bugfix-utility,Sovngarde HD Sweet Rolls - 2K and 1K,0.492,,
3,+,Missing,PaOutdoorEventPack_V1.2_SE_AE,Bug Fixes,bugfix-utility,BakaFactory's SLAL Pack,0.462,,
4,+,Missing,PA_Extension_BadEndsRevived_WindHelm_V1.2.0_SE_AE,Bug Fixes,bugfix-utility,Capital Windhelm Expansion,0.521,,
5,+,Missing,PaPunishmentPack_V1.2.0_SE_AE,Bug Fixes,bugfix-utility,[NoDelete] Anim_Movement SE Walk ALT A,0.471,,
6,+,MissingWithArchive,PamaDeadlyFurniture_V3.3.2_SE_AE,Bug Fixes,bugfix-utility,No Furniture Camera,0.531,C:\Users\antho\Downloads\PamaDeadlyFurniture_V2.4.0_LE_SSE (1).zip,0.885
7,+,Missing,PA_Extension_BadEndsRevived_Solitude_V1.7.6_SE_AE,Bug Fixes,bugfix-utility,Chanterelle World Expansion Pack,0.506,,
8,+,Missing,OrkishBountyHunters_V0.4_SE_AE,Bug Fixes,bugfix-utility,C5Kev's Sexier Prisoner Outfit 3BA,0.467,,
9,+,MissingWithArchive,PamaPrisonAlternative_V2.0.3_LE_SE_AE,Bug Fixes,bugfix-utility,Acheron - Death Alternative,0.600,C:\Users\antho\Downloads\PamaPrisonAlternative_V2.0.3_LE_SE_AE (1).zip,1.000
10,+,Missing,InteractiveGallows_V3.0_ForSpecialEdition,Bug Fixes,bugfix-utility,ETHEREAL CLOUDS - Special Edition,0.667,,
11,+,Missing,PA_Extension_BadEndsRevived_Riften_V1.3.1_SE_AE,Bug Fixes,bugfix-utility,Bandit Lines Expansion,0.507,,
12,+,Missing,Furniture_Alignment_Helper_V4,Bug Fixes,bugfix-utility,No Furniture Camera,0.583,,
13,+,MissingWithArchive,Bathing in Skyrim - Renewed,Pama Mods,pama-mods,Revamped Assets Skyrim,0.596,C:\Users\antho\Downloads\Bathing in Skyrim-135288-2-7-8-1776056260.7z,0.810
14,+,Present,Lola DOM Handler Patch,Pama Mods,bugfix-utility,Lola DOM Handler Patch,1.000,,
15,+,FuzzyPresent,lola-expanded-addons CvonB,Pama Mods,pama-mods,[NoDelete] 360 Lola Expanded Addons,0.870,,
16,+,FuzzyPresent,Immersive_Torture_Sound_v0.1,Pama Mods,pama-mods,[NoDelete] Immersive_Torture_Sound_v,0.980,,
17,+,Missing,Rydin Animations SLAL Pack_Complete_SSE v0.5a,Pama Mods,animations,Goetia Animations - Sprint,0.603,,
18,+,Missing,Slap da Butt SE,Pama Mods,pama-mods,PCA Output,0.545,,
19,+,MissingWithArchive,slavetats_spanked_1.0,Pama Mods,adult-frameworks,SlaveTatsSE,0.733,C:\Users\antho\Downloads\SlaveTatsSE-1.3.9.7z,0.733
20,+,Missing,Slap da Butt with Spank Tats,Pama Mods,pama-mods,[NoDelete] Build with Gold (USSEP),0.490,,
21,+,Present,SL Dirty Deeds Missives 1.4.2,Pama Mods,quests-followers,[Quests] SL Dirty Deeds Missives,1.000,,
22,+,Present,Missives 2.03 SSE,Pama Mods,quests-followers,[Quests] Missives 2.03 SSE,1.000,,
23,+,Missing,Follower Slavery Mod V1.731,Pama Mods,quests-followers,dD Follower Escape,0.632,,
