Priority,Enabled,Status,SourceMod,Category,Bucket,MatchedLocal,Score,ArchivePath,ArchiveScore,NexusID,NexusURL,DownloadFile
2,+,Present,SSE Creation Kit Fonixdata Lip Sync Fix,Creatures and Mounts,bugfix-utility,SSE Creation Kit Fonixdata Lip Sync Fix,1.000,,,40971,https://www.nexusmods.com/skyrimspecialedition/mods/40971,FonixData File Mod Manager Install-40971-1-0-1601510699.7z
3,+,Present,Skyrim Remastered - Optimized (Part 1),Models and Textures,graphics,Skyrim Remastered - Optimized (Part 2),1.000,,,134352,https://www.nexusmods.com/skyrimspecialedition/mods/134352,Skyrim Remastered - Optimized (Part 1)-134352-1-1-1750069975.7z
4,+,Present,Skyrim Remastered - Optimized (Part 2),Models and Textures,graphics,Skyrim Remastered - Optimized (Part 2),1.000,,,134352,https://www.nexusmods.com/skyrimspecialedition/mods/134352,Skyrim Remastered - Optimized (Part 2)-134352-1-1-1750072503.7z
5,+,Present,Unofficial Skyrim Special Edition Patch,Player homes,bugfix-utility,Unofficial Skyrim Special Edition Patch,1.000,,,266,https://www.nexusmods.com/skyrimspecialedition/mods/266,Unofficial Skyrim Special Edition Patch-266-4-3-0a-1702019266.7z
6,+,Present,Vanilla Remastered - USSEP Patch,Models and Textures,graphics,Vanilla Remastered - USSEP Patch,1.000,,,134352,https://www.nexusmods.com/skyrimspecialedition/mods/134352,Vanilla Remastered - USSEP Patch-134352-1-01-1740995420.7z
7,+,Present,Unofficial Skyrim Modder's Patch - USMP SE,VR,bugfix-utility,Unofficial Skyrim Modder's Patch - USMP SE,1.000,,,49616,https://www.nexusmods.com/skyrimspecialedition/mods/49616,Unofficial Skyrim Modder's Patch - USMP SE 2.6.3-49616-2-6-3-1722089617.7z
8,+,Present,Unofficial Skyrim Creation Club Content Patch,Cheats and God items,bugfix-utility,Unofficial Skyrim Creation Club Content Patch,1.000,,,18975,https://www.nexusmods.com/skyrimspecialedition/mods/18975,Unofficial Skyrim Creation Club Content Patch-18975-8-2-1746071153.zip
9,+,Present,Vanilla Script (micro)Optimizations,Player homes,player-homes,Vanilla Script (micro)Optimizations,1.000,,,54061,https://www.nexusmods.com/skyrimspecialedition/mods/54061,Vanilla Script microOptimizations-54061-1-16a-1654031453.zip
10,+,Present,Vanilla Scripting Enhancements,Player homes,player-homes,Vanilla Scripting Enhancements,1.000,,,68139,https://www.nexusmods.com/skyrimspecialedition/mods/68139,Loose Version-68139-3-0-1685378555.rar
11,+,Present,Keyword Patch Collection,Patches,bugfix-utility,Keyword Patch Collection,1.000,,,92529,https://www.nexusmods.com/skyrimspecialedition/mods/92529,Keyword Patch Collection-92529-1-0-0-1689464095.zip
12,+,Present,Object Categorization Framework,Utilities,bugfix-utility,Object Categorization Framework,1.000,,,81469,https://www.nexusmods.com/skyrimspecialedition/mods/81469,Object Categorization Framework-81469-6-1-0-1736820849.zip
13,+,Present,Terrain Fixes for CC Mods,Environmental,bugfix-utility,Terrain Fixes for CC Mods,1.000,,,61777,https://www.nexusmods.com/skyrimspecialedition/mods/61777,Grass Fixes for Creation Club Mods-61777-1-2-1658752919.7z
15,+,Present,SKSE,SKSE Utility Mods,bugfix-utility,SKSE,1.000,,,0,,skse64_2_01_05.7z
16,+,Present,SKSE64 ini,SKSE Utility Mods,bugfix-utility,SKSE64 ini,1.000,,,1651,https://www.nexusmods.com/skyrimspecialedition/mods/1651,SKSE64 INI PRE DOWNLOAD v1.2-1651-1-2.7z
17,+,Present,Bug Fixes SSE,SKSE Utility Mods,bugfix-utility,Bug Fixes SSE,1.000,,,33261,https://www.nexusmods.com/skyrimspecialedition/mods/33261,Bug Fixes SSE (Special Edition)-33261-6-1646905367.7z
18,+,Present,Address Library for SKSE Plugins,SKSE Utility Mods,armor-clothing,Address Library for SKSE Plugins,1.000,,,32444,https://www.nexusmods.com/skyrimspecialedition/mods/32444,All in one-32444-2-1582543914.zip
19,+,Present,SSE Engine Fixes (skse64 plugin),SKSE Utility Mods,bugfix-utility,SSE Engine Fixes (skse64 plugin),1.000,,,17230,https://www.nexusmods.com/skyrimspecialedition/mods/17230,(Part 1) SSE Engine Fixes for 1.5.39 - 1.5.97-17230-5-9-1-1664974289.7z
20,+,Present,SSE Display Tweaks,SKSE Utility Mods,bugfix-utility,SSE Display Tweaks,1.000,,,34705,https://www.nexusmods.com/skyrimspecialedition/mods/34705,SSE Display Tweaks-34705-0-5-12-1664893623.zip
21,+,Present,powerofthree's Tweaks,SKSE Utility Mods,bugfix-utility,powerofthree's Tweaks,1.000,,,51073,https://www.nexusmods.com/skyrimspecialedition/mods/51073,powerofthree's Tweaks-51073-1-1-5-1-1756670335.7z
22,+,Present,Spell Perk Item Distributor (SPID),SKSE Utility Mods,bugfix-utility,Spell Perk Item Distributor (SPID),1.000,,,36869,https://www.nexusmods.com/skyrimspecialedition/mods/36869,Spell Perk Item Distributor-36869-6-8-2-1705467141.7z
23,+,Present,powerofthree's Papyrus Extender,SKSE Utility Mods,bugfix-utility,powerofthree's Papyrus Extender,1.000,,,22854,https://www.nexusmods.com/skyrimspecialedition/mods/22854,Papyrus Extender-22854-6-1-1-1753770571.7z
24,+,Present,Keyword Item Distributor (KID),SKSE Utility Mods,bugfix-utility,Keyword Item Distributor (KID),1.000,,,55728,https://www.nexusmods.com/skyrimspecialedition/mods/55728,Keyword Item Distributor-55728-3-4-0-1710234193.7z
25,+,Present,JContainers SE,SKSE Utility Mods,bugfix-utility,JContainers,1.000,,,16495,https://www.nexusmods.com/skyrimspecialedition/mods/16495,JContainers SE-16495-4-1-13-1602690897.7z
26,+,MissingWithArchive,Skyrim Priority SE AE - skse plugin,SKSE Utility Mods,bugfix-utility,Address Library for SKSE Plugins,0.576,E:\Games\Tsukiro2\Downloads\1_Skyrim Priority SE AE-50129-3-2-0-1639055862.zip,1.000,50129,https://www.nexusmods.com/skyrimspecialedition/mods/50129,1_Skyrim Priority SE AE-50129-3-2-0-1639055862.zip
27,+,Present,Scaleform Translation Plus Plus NG,SKSE Utility Mods,bugfix-utility,Scaleform Translation Plus Plus NG,1.000,,,77359,https://www.nexusmods.com/skyrimspecialedition/mods/77359,ScaleformTranslationPP-77359-1-8-1709114434.7z
28,+,Present,FileAccess Interface for Skyrim SE Scripts - FISSES,SKSE Utility Mods,ui,FileAccess Interface for Skyrim SE Scripts - FISSES,1.000,,,13956,https://www.nexusmods.com/skyrimspecialedition/mods/13956,FileAccess Interface for Skyrim SE Scripts - FISSES-13956-1-3-7-1574615841.zip
29,+,MissingWithArchive,ENB Helper SE,SKSE Utility Mods,graphics,MCM Helper,0.700,E:\Games\Tsukiro2\Downloads\ENB Helper SE 1.5 for SSE 1.5.97-23174-1-5-1574569443.7z,1.000,23174,https://www.nexusmods.com/skyrimspecialedition/mods/23174,ENB Helper SE 1.5 for SSE 1.5.97-23174-1-5-1574569443.7z
30,+,Present,Auto Input Switch,SKSE Utility Mods,bugfix-utility,Auto Input Switch,1.000,,,54309,https://www.nexusmods.com/skyrimspecialedition/mods/54309,Auto Input Switch-54309-1-1-2-1630404989.zip
31,+,Present,Base Object Swapper,SKSE Utility Mods,bugfix-utility,Base Object Swapper,1.000,,,60805,https://www.nexusmods.com/skyrimspecialedition/mods/60805,Base Object Swapper-60805-3-4-1-1752606013.7z
32,+,Present,Fuz Ro D-oh - Silent Voice,SKSE Utility Mods,bugfix-utility,Fuz Ro D-oh - Silent Voice,1.000,,,15109,https://www.nexusmods.com/skyrimspecialedition/mods/15109,Fuz Ro D'oh-15109-1-7-1574514494.7z
33,+,Present,To Your Face SE - AE - VR,SKSE Utility Mods,bugfix-utility,To Your Face SE - AE - VR,1.000,,,24720,https://www.nexusmods.com/skyrimspecialedition/mods/24720,To Your Face SE-24720-1-0h-1575072852.zip
34,+,Present,Face Discoloration Fix,SKSE Utility Mods,bugfix-utility,Face Discoloration Fix,1.000,,,42441,https://www.nexusmods.com/skyrimspecialedition/mods/42441,Face Discoloration Fix SE-42441-1-0-1-1628974769.zip
35,+,Present,MCM Helper,SKSE Utility Mods,ui,MCM Helper,1.000,,,53000,https://www.nexusmods.com/skyrimspecialedition/mods/53000,MCM Helper SE (1.5.97 BACKPORT)-53000-1-4-0-1665228962.7z
36,+,Present,Powers Keyring,SKSE Utility Mods,bugfix-utility,Powers Keyring,1.000,,,42949,https://www.nexusmods.com/skyrimspecialedition/mods/42949,Powers Keyring-42949-1-2-1609782540.zip
37,+,Present,MCM Recorder,SKSE Utility Mods,ui,MCM Recorder,1.000,,,61719,https://www.nexusmods.com/skyrimspecialedition/mods/61719,MCM Recorder-61719-1-0-7-1642847171.zip
